ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
134,Generic Brand Arched Wall Mirror — Classic (solid oak),Household,"Arched Wall Mirror in Classic finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",215.46,solid oak,3,0,66.1
135,Generic Brand Round Entry Mirror — Soft (organic cotton),Household,"Round Entry Mirror in Soft finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",74.46,organic cotton,5,24,18.7
136,Generic Brand Sculptural Table Lamp — Classic (FSC recycled paper),Household,"Sculptural Table Lamp in Classic finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",232.84,FSC recycled paper,3,12,76.7
137,Generic Brand Minimalist Floor Lamp — Premium (organic cotton),Household,"Minimalist Floor Lamp in Premium finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",23.68,organic cotton,5,6,78.8
138,Generic Brand LED Bedside Lamp — Performance (powder-coated steel),Household,"LED Bedside Lamp in Performance finish. Material: powder-coated steel. Designed for practical, everyday use with improved ergonomics and reliability.",172.78,powder-coated steel,5,36,32.6
139,Generic Brand Wall Sconce Pair — Classic (solid oak),Household,"Wall Sconce Pair in Classic finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",456.4,solid oak,3,6,76.1
140,Generic Brand Japandi Pendant — Eco (FSC recycled paper),Household,"Japandi Pendant in Eco finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",364.75,FSC recycled paper,5,36,66.5
141,Generic Brand Paper Lightshade Globe — Soft (organic cotton),Household,"Paper Lightshade Globe in Soft finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",398.48,organic cotton,5,18,32.0
142,Generic Brand Sheer Linen Curtains — Studio (organic cotton),Household,"Sheer Linen Curtains in Studio finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",269.01,organic cotton,4,6,33.4
143,Generic Brand Velvet Drapes — Eco (FSC recycled paper),Household,"Velvet Drapes in Eco finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",225.62,FSC recycled paper,3,36,64.5
144,Generic Brand Gingham Duvet Set — Premium (FSC recycled paper),Household,"Gingham Duvet Set in Premium finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",92.13,FSC recycled paper,5,12,81.9
145,Generic Brand Seersucker Bedding — Bold (powder-coated steel),Household,"Seersucker Bedding in Bold finish. Material: powder-coated steel. Designed for practical, everyday use with improved ergonomics and reliability.",328.7,powder-coated steel,3,24,31.9
146,Generic Brand Textured Cotton Blanket — Classic (FSC recycled paper),Household,"Textured Cotton Blanket in Classic finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",86.36,FSC recycled paper,3,6,30.1
147,Generic Brand Memory Foam Pillow — Soft (glass),Household,"Memory Foam Pillow in Soft finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",375.49,glass,5,36,43.7
148,Generic Brand Ribbed Bath Mat — Bold (solid oak),Household,"Ribbed Bath Mat in Bold finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",467.18,solid oak,4,12,38.7
149,Generic Brand Waffle Bath Towels — Studio (bamboo),Household,"Waffle Bath Towels in Studio finish. Material: bamboo. Designed for practical, everyday use with improved ergonomics and reliability.",255.81,bamboo,5,0,88.5
150,Generic Brand Shower Curtain — Classic (aluminum frame),Household,"Shower Curtain in Classic finish. Material: aluminum frame. Designed for practical, everyday use with improved ergonomics and reliability.",282.13,aluminum frame,4,12,67.2
151,Generic Brand Compact Laundry Basket — Heritage (FSC recycled paper),Household,"Compact Laundry Basket in Heritage finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",205.37,FSC recycled paper,4,0,16.4
152,Generic Brand Stackable Storage Bins — Heritage (stoneware),Household,"Stackable Storage Bins in Heritage finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",36.49,stoneware,5,18,41.6
153,Generic Brand Airtight Pantry Jars — Eco (stoneware),Household,"Airtight Pantry Jars in Eco finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",39.99,stoneware,5,18,109.8
154,Generic Brand Ceramic Vase Duo — Minimal (powder-coated steel),Household,"Ceramic Vase Duo in Minimal finish. Material: powder-coated steel. Designed for practical, everyday use with improved ergonomics and reliability.",257.59,powder-coated steel,4,12,58.0
155,Generic Brand Stoneware Dinnerware Set — Classic (glass),Household,"Stoneware Dinnerware Set in Classic finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",176.94,glass,5,36,64.0
156,Generic Brand Glass Carafe — Classic (stoneware),Household,"Glass Carafe in Classic finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",474.72,stoneware,4,0,52.3
157,Generic Brand Flatware Set — Eco (stoneware),Household,"Flatware Set in Eco finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",361.1,stoneware,3,18,65.6
158,Generic Brand Knife Block Set — Studio (glass),Household,"Knife Block Set in Studio finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",71.41,glass,3,0,45.0
159,Generic Brand Cutting Board Set — Soft (bamboo),Household,"Cutting Board Set in Soft finish. Material: bamboo. Designed for practical, everyday use with improved ergonomics and reliability.",321.91,bamboo,4,18,47.4
160,Generic Brand Nonstick Skillet — Performance (organic cotton),Household,"Nonstick Skillet in Performance finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",308.86,organic cotton,5,36,32.9
161,Generic Brand Cast-Iron Dutch Oven — Premium (FSC recycled paper),Household,"Cast-Iron Dutch Oven in Premium finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",12.36,FSC recycled paper,5,12,64.1
162,Generic Brand French Press — Urban (woven rattan),Household,"French Press in Urban finish. Material: woven rattan. Designed for practical, everyday use with improved ergonomics and reliability.",80.48,woven rattan,4,12,51.6
163,Generic Brand Pour-Over Coffee Kit — Classic (stoneware),Household,"Pour-Over Coffee Kit in Classic finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",128.31,stoneware,5,24,80.9
164,Generic Brand Spice Rack System — Performance (solid oak),Household,"Spice Rack System in Performance finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",53.49,solid oak,4,12,57.8
165,Generic Brand Kitchen Canisters — Studio (organic cotton),Household,"Kitchen Canisters in Studio finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",371.04,organic cotton,3,18,53.7
166,Generic Brand Mixing Bowl Set — Minimal (reclaimed wood),Household,"Mixing Bowl Set in Minimal finish. Material: reclaimed wood. Designed for practical, everyday use with improved ergonomics and reliability.",420.03,reclaimed wood,5,18,77.7
167,Generic Brand Bakeware Essentials — Eco (glass),Household,"Bakeware Essentials in Eco finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",104.33,glass,3,0,85.1
168,Generic Brand Recycling Bin Set — Heritage (glass),Household,"Recycling Bin Set in Heritage finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",325.63,glass,5,12,103.6
169,Generic Brand Countertop Compost Caddy — Performance (glass),Household,"Countertop Compost Caddy in Performance finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",114.32,glass,5,0,60.5
170,Generic Brand Planter Pot Trio — Eco (aluminum frame),Household,"Planter Pot Trio in Eco finish. Material: aluminum frame. Designed for practical, everyday use with improved ergonomics and reliability.",194.45,aluminum frame,3,6,94.5
171,Generic Brand Wall Art Canvas — Studio (glass),Household,"Wall Art Canvas in Studio finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",244.08,glass,3,0,57.9
172,Generic Brand Floating Shelf Set — Bold (FSC recycled paper),Household,"Floating Shelf Set in Bold finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",420.75,FSC recycled paper,3,18,43.4
173,Generic Brand Bookshelf Unit — Eco (stoneware),Household,"Bookshelf Unit in Eco finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",118.14,stoneware,4,6,113.5
174,Generic Brand Entryway Console — Premium (aluminum frame),Household,"Entryway Console in Premium finish. Material: aluminum frame. Designed for practical, everyday use with improved ergonomics and reliability.",139.67,aluminum frame,4,36,82.9
175,Generic Brand Side Table — Minimal (reclaimed wood),Household,"Side Table in Minimal finish. Material: reclaimed wood. Designed for practical, everyday use with improved ergonomics and reliability.",207.41,reclaimed wood,5,12,108.3
176,Generic Brand Accent Chair — Premium (glass),Household,"Accent Chair in Premium finish. Material: glass. Designed for practical, everyday use with improved ergonomics and reliability.",59.28,glass,3,18,75.3
177,Generic Brand Storage Ottoman — Premium (organic cotton),Household,"Storage Ottoman in Premium finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",224.04,organic cotton,4,18,41.8
178,Generic Brand Woven Basket Trio — Heritage (powder-coated steel),Household,"Woven Basket Trio in Heritage finish. Material: powder-coated steel. Designed for practical, everyday use with improved ergonomics and reliability.",320.77,powder-coated steel,3,0,27.6
179,Generic Brand Picture Frame Gallery — Soft (FSC recycled paper),Household,"Picture Frame Gallery in Soft finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",374.83,FSC recycled paper,4,12,19.9
180,Generic Brand Wall Clock — Heritage (stoneware),Household,"Wall Clock in Heritage finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",467.12,stoneware,5,12,75.7
181,Generic Brand Desk Organizer Set — Bold (woven rattan),Household,"Desk Organizer Set in Bold finish. Material: woven rattan. Designed for practical, everyday use with improved ergonomics and reliability.",453.52,woven rattan,4,18,83.1
182,Generic Brand Trash Can 13gal — Urban (stoneware),Household,"Trash Can 13gal in Urban finish. Material: stoneware. Designed for practical, everyday use with improved ergonomics and reliability.",159.91,stoneware,3,36,21.3
183,Generic Brand Dish Drying Rack — Bold (reclaimed wood),Household,"Dish Drying Rack in Bold finish. Material: reclaimed wood. Designed for practical, everyday use with improved ergonomics and reliability.",247.94,reclaimed wood,4,18,11.1
184,Generic Brand Portable Fan — Studio (solid oak),Household,"Portable Fan in Studio finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",205.27,solid oak,3,24,10.9
185,Generic Brand Room Humidifier — Minimal (organic cotton),Household,"Room Humidifier in Minimal finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",167.63,organic cotton,5,12,38.6
186,Generic Brand Essential Oil Diffuser — Performance (reclaimed wood),Household,"Essential Oil Diffuser in Performance finish. Material: reclaimed wood. Designed for practical, everyday use with improved ergonomics and reliability.",421.5,reclaimed wood,4,12,62.2
187,Generic Brand Compact Air Purifier — Urban (bamboo),Household,"Compact Air Purifier in Urban finish. Material: bamboo. Designed for practical, everyday use with improved ergonomics and reliability.",145.0,bamboo,5,0,117.2
188,Generic Brand Portable Heater — Urban (woven rattan),Household,"Portable Heater in Urban finish. Material: woven rattan. Designed for practical, everyday use with improved ergonomics and reliability.",441.28,woven rattan,4,12,75.4
189,Generic Brand Linen Table Runner — Heritage (organic cotton),Household,"Linen Table Runner in Heritage finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",197.41,organic cotton,3,18,108.1
190,Generic Brand Cotton Napkins — Premium (organic cotton),Household,"Cotton Napkins in Premium finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",389.03,organic cotton,3,12,68.7
191,Generic Brand Serving Platter — Performance (reclaimed wood),Household,"Serving Platter in Performance finish. Material: reclaimed wood. Designed for practical, everyday use with improved ergonomics and reliability.",214.89,reclaimed wood,3,36,77.3
192,Generic Brand Charcuterie Board — Studio (organic cotton),Household,"Charcuterie Board in Studio finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",360.89,organic cotton,4,0,112.5
193,Generic Brand Wine Glass Set — Studio (powder-coated steel),Household,"Wine Glass Set in Studio finish. Material: powder-coated steel. Designed for practical, everyday use with improved ergonomics and reliability.",199.26,powder-coated steel,5,18,10.4
194,Generic Brand Coat Rack — Performance (bamboo),Household,"Coat Rack in Performance finish. Material: bamboo. Designed for practical, everyday use with improved ergonomics and reliability.",24.33,bamboo,4,0,80.5
195,Generic Brand Shoe Storage Bench — Urban (woven rattan),Household,"Shoe Storage Bench in Urban finish. Material: woven rattan. Designed for practical, everyday use with improved ergonomics and reliability.",210.43,woven rattan,3,18,89.4
196,Generic Brand Laundry Drying Rack — Performance (FSC recycled paper),Household,"Laundry Drying Rack in Performance finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",331.58,FSC recycled paper,3,12,89.9
197,Generic Brand Knife Sharpening Stone — Minimal (organic cotton),Household,"Knife Sharpening Stone in Minimal finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",13.02,organic cotton,5,12,25.3
198,Generic Brand Bamboo Cutting Board — Soft (FSC recycled paper),Household,"Bamboo Cutting Board in Soft finish. Material: FSC recycled paper. Designed for practical, everyday use with improved ergonomics and reliability.",433.26,FSC recycled paper,5,18,74.0
199,Generic Brand Microfiber Cleaning Cloths — Bold (solid oak),Household,"Microfiber Cleaning Cloths in Bold finish. Material: solid oak. Designed for practical, everyday use with improved ergonomics and reliability.",38.33,solid oak,3,12,78.4
200,Generic Brand Spray Bottle Set — Minimal (organic cotton),Household,"Spray Bottle Set in Minimal finish. Material: organic cotton. Designed for practical, everyday use with improved ergonomics and reliability.",64.64,organic cotton,3,0,35.6
201,Generic Brand Paper Lightshade Globe — Classic (reclaimed wood),Household,Variant of Paper Lightshade Globe with brushed aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,515.39,reclaimed wood,4,12,11.7
202,Generic Brand Sheer Linen Curtains — Eco (stoneware),Household,Variant of Sheer Linen Curtains with matte aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,127.94,stoneware,3,0,70.0
203,Generic Brand Velvet Drapes — Eco (powder-coated steel),Household,Variant of Velvet Drapes with textured aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,441.87,powder-coated steel,4,18,31.1
204,Generic Brand Gingham Duvet Set — Classic (solid oak),Household,Variant of Gingham Duvet Set with matte aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,388.58,solid oak,5,24,77.1
205,Generic Brand Seersucker Bedding — Studio (aluminum frame),Household,Variant of Seersucker Bedding with brushed aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,191.4,aluminum frame,3,6,34.3
206,Generic Brand Textured Cotton Blanket — Urban (powder-coated steel),Household,Variant of Textured Cotton Blanket with matte aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,241.98,powder-coated steel,3,18,68.9
207,Generic Brand Memory Foam Pillow — Heritage (bamboo),Household,Variant of Memory Foam Pillow with textured aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,73.81,bamboo,5,12,21.1
208,Generic Brand Ribbed Bath Mat — Studio (solid oak),Household,Variant of Ribbed Bath Mat with textured aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,280.5,solid oak,3,6,68.1
209,Generic Brand Waffle Bath Towels — Soft (woven rattan),Household,Variant of Waffle Bath Towels with natural aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,181.5,woven rattan,5,0,22.1
210,Generic Brand Shower Curtain — Heritage (organic cotton),Household,Variant of Shower Curtain with gloss aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,248.4,organic cotton,3,18,101.6
211,Generic Brand Compact Laundry Basket — Bold (aluminum frame),Household,Variant of Compact Laundry Basket with gloss aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,211.11,aluminum frame,3,18,19.0
212,Generic Brand Stackable Storage Bins — Bold (aluminum frame),Household,Variant of Stackable Storage Bins with brushed aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,258.4,aluminum frame,5,36,116.7
213,Generic Brand Airtight Pantry Jars — Studio (organic cotton),Household,Variant of Airtight Pantry Jars with matte aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,400.96,organic cotton,4,24,93.4
214,Generic Brand Ceramic Vase Duo — Minimal (FSC recycled paper),Household,Variant of Ceramic Vase Duo with matte aesthetic. Material: FSC recycled paper. Tuned for efficiency and longevity; upgraded components and finish.,359.79,FSC recycled paper,5,12,106.8
215,Generic Brand Stoneware Dinnerware Set — Minimal (aluminum frame),Household,Variant of Stoneware Dinnerware Set with natural aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,228.22,aluminum frame,5,18,71.1
216,Generic Brand Glass Carafe — Urban (organic cotton),Household,Variant of Glass Carafe with brushed aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,361.12,organic cotton,4,12,95.1
217,Generic Brand Flatware Set — Urban (bamboo),Household,Variant of Flatware Set with gloss aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,204.2,bamboo,3,24,66.9
218,Generic Brand Knife Block Set — Bold (glass),Household,Variant of Knife Block Set with brushed aesthetic. Material: glass. Tuned for efficiency and longevity; upgraded components and finish.,262.23,glass,4,36,64.3
219,Generic Brand Cutting Board Set — Bold (organic cotton),Household,Variant of Cutting Board Set with gloss aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,501.75,organic cotton,5,6,95.0
220,Generic Brand Nonstick Skillet — Urban (bamboo),Household,Variant of Nonstick Skillet with matte aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,411.0,bamboo,5,36,115.2
221,Generic Brand Cast-Iron Dutch Oven — Heritage (solid oak),Household,Variant of Cast-Iron Dutch Oven with brushed aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,170.51,solid oak,5,12,104.9
222,Generic Brand French Press — Bold (reclaimed wood),Household,Variant of French Press with textured aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,307.84,reclaimed wood,3,0,79.4
223,Generic Brand Pour-Over Coffee Kit — Heritage (bamboo),Household,Variant of Pour-Over Coffee Kit with gloss aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,255.77,bamboo,3,0,102.7
224,Generic Brand Spice Rack System — Performance (powder-coated steel),Household,Variant of Spice Rack System with natural aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,399.93,powder-coated steel,3,18,80.1
225,Generic Brand Kitchen Canisters — Premium (FSC recycled paper),Household,Variant of Kitchen Canisters with textured aesthetic. Material: FSC recycled paper. Tuned for efficiency and longevity; upgraded components and finish.,167.09,FSC recycled paper,5,0,60.6
226,Generic Brand Mixing Bowl Set — Bold (powder-coated steel),Household,Variant of Mixing Bowl Set with textured aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,200.33,powder-coated steel,5,18,24.4
227,Generic Brand Bakeware Essentials — Minimal (organic cotton),Household,Variant of Bakeware Essentials with textured aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,99.43,organic cotton,5,6,95.6
228,Generic Brand Recycling Bin Set — Minimal (organic cotton),Household,Variant of Recycling Bin Set with natural aesthetic. Material: organic cotton. Tuned for efficiency and longevity; upgraded components and finish.,522.54,organic cotton,4,6,48.6
229,Generic Brand Countertop Compost Caddy — Soft (solid oak),Household,Variant of Countertop Compost Caddy with brushed aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,537.42,solid oak,4,36,34.1
230,Generic Brand Planter Pot Trio — Urban (aluminum frame),Household,Variant of Planter Pot Trio with matte aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,192.04,aluminum frame,4,6,67.0
231,Generic Brand Wall Art Canvas — Performance (solid oak),Household,Variant of Wall Art Canvas with natural aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,303.6,solid oak,3,12,93.2
232,Generic Brand Floating Shelf Set — Premium (bamboo),Household,Variant of Floating Shelf Set with gloss aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,200.72,bamboo,5,36,91.2
233,Generic Brand Bookshelf Unit — Soft (stoneware),Household,Variant of Bookshelf Unit with gloss aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,24.1,stoneware,3,12,104.4
234,Generic Brand Entryway Console — Minimal (woven rattan),Household,Variant of Entryway Console with brushed aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,214.09,woven rattan,4,24,48.0
235,Generic Brand Side Table — Urban (solid oak),Household,Variant of Side Table with natural aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,44.75,solid oak,3,36,35.1
236,Generic Brand Accent Chair — Performance (aluminum frame),Household,Variant of Accent Chair with natural aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,295.44,aluminum frame,5,6,60.2
237,Generic Brand Storage Ottoman — Classic (powder-coated steel),Household,Variant of Storage Ottoman with textured aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,279.43,powder-coated steel,4,18,21.9
238,Generic Brand Woven Basket Trio — Heritage (aluminum frame),Household,Variant of Woven Basket Trio with natural aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,227.35,aluminum frame,5,24,103.2
239,Generic Brand Picture Frame Gallery — Premium (reclaimed wood),Household,Variant of Picture Frame Gallery with gloss aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,251.12,reclaimed wood,5,0,70.9
240,Generic Brand Wall Clock — Heritage (powder-coated steel),Household,Variant of Wall Clock with matte aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,314.02,powder-coated steel,5,36,78.8
241,Generic Brand Desk Organizer Set — Minimal (aluminum frame),Household,Variant of Desk Organizer Set with textured aesthetic. Material: aluminum frame. Tuned for efficiency and longevity; upgraded components and finish.,411.2,aluminum frame,5,6,84.3
242,Generic Brand Trash Can 13gal — Classic (bamboo),Household,Variant of Trash Can 13gal with matte aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,52.51,bamboo,5,36,28.0
243,Generic Brand Dish Drying Rack — Eco (woven rattan),Household,Variant of Dish Drying Rack with matte aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,331.46,woven rattan,4,24,35.0
244,Generic Brand Portable Fan — Soft (glass),Household,Variant of Portable Fan with brushed aesthetic. Material: glass. Tuned for efficiency and longevity; upgraded components and finish.,441.44,glass,3,24,54.1
245,Generic Brand Room Humidifier — Classic (stoneware),Household,Variant of Room Humidifier with brushed aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,34.94,stoneware,4,18,15.0
246,Generic Brand Essential Oil Diffuser — Minimal (reclaimed wood),Household,Variant of Essential Oil Diffuser with gloss aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,145.44,reclaimed wood,4,24,90.7
247,Generic Brand Compact Air Purifier — Premium (reclaimed wood),Household,Variant of Compact Air Purifier with gloss aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,438.89,reclaimed wood,3,18,88.3
248,Generic Brand Portable Heater — Eco (FSC recycled paper),Household,Variant of Portable Heater with brushed aesthetic. Material: FSC recycled paper. Tuned for efficiency and longevity; upgraded components and finish.,401.76,FSC recycled paper,4,6,112.2
249,Generic Brand Linen Table Runner — Classic (woven rattan),Household,Variant of Linen Table Runner with brushed aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,251.43,woven rattan,5,12,11.8
250,Generic Brand Cotton Napkins — Performance (bamboo),Household,Variant of Cotton Napkins with matte aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,13.54,bamboo,5,36,23.9
251,Generic Brand Serving Platter — Minimal (solid oak),Household,Variant of Serving Platter with matte aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,413.61,solid oak,5,0,89.1
252,Generic Brand Charcuterie Board — Classic (glass),Household,Variant of Charcuterie Board with gloss aesthetic. Material: glass. Tuned for efficiency and longevity; upgraded components and finish.,33.32,glass,4,6,12.7
253,Generic Brand Wine Glass Set — Heritage (bamboo),Household,Variant of Wine Glass Set with brushed aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,377.55,bamboo,3,24,28.8
254,Generic Brand Coat Rack — Performance (solid oak),Household,Variant of Coat Rack with brushed aesthetic. Material: solid oak. Tuned for efficiency and longevity; upgraded components and finish.,136.63,solid oak,4,18,109.7
255,Generic Brand Shoe Storage Bench — Premium (stoneware),Household,Variant of Shoe Storage Bench with brushed aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,306.72,stoneware,3,36,99.0
256,Generic Brand Laundry Drying Rack — Premium (woven rattan),Household,Variant of Laundry Drying Rack with textured aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,20.13,woven rattan,4,0,91.5
257,Generic Brand Knife Sharpening Stone — Eco (woven rattan),Household,Variant of Knife Sharpening Stone with brushed aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,171.15,woven rattan,4,24,57.6
258,Generic Brand Bamboo Cutting Board — Performance (powder-coated steel),Household,Variant of Bamboo Cutting Board with gloss aesthetic. Material: powder-coated steel. Tuned for efficiency and longevity; upgraded components and finish.,344.66,powder-coated steel,3,18,61.0
259,Generic Brand Microfiber Cleaning Cloths — Premium (glass),Household,Variant of Microfiber Cleaning Cloths with natural aesthetic. Material: glass. Tuned for efficiency and longevity; upgraded components and finish.,28.55,glass,3,24,77.4
260,Generic Brand Spray Bottle Set — Eco (glass),Household,Variant of Spray Bottle Set with natural aesthetic. Material: glass. Tuned for efficiency and longevity; upgraded components and finish.,209.22,glass,5,18,81.6
261,Generic Brand Under-Bed Storage — Premium (reclaimed wood),Household,Variant of Under-Bed Storage with textured aesthetic. Material: reclaimed wood. Tuned for efficiency and longevity; upgraded components and finish.,333.38,reclaimed wood,3,24,61.4
262,Generic Brand Drawer Dividers — Urban (FSC recycled paper),Household,Variant of Drawer Dividers with brushed aesthetic. Material: FSC recycled paper. Tuned for efficiency and longevity; upgraded components and finish.,61.03,FSC recycled paper,5,0,43.1
263,Generic Brand Desk Lamp — Eco (stoneware),Household,Variant of Desk Lamp with brushed aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,440.28,stoneware,4,24,82.3
264,Generic Brand Reading Lamp — Eco (bamboo),Household,Variant of Reading Lamp with gloss aesthetic. Material: bamboo. Tuned for efficiency and longevity; upgraded components and finish.,389.68,bamboo,3,0,98.6
265,Generic Brand Bedside Table — Bold (woven rattan),Household,Variant of Bedside Table with matte aesthetic. Material: woven rattan. Tuned for efficiency and longevity; upgraded components and finish.,498.62,woven rattan,4,6,43.6
266,Generic Brand Nightstand — Minimal (stoneware),Household,Variant of Nightstand with brushed aesthetic. Material: stoneware. Tuned for efficiency and longevity; upgraded components and finish.,119.31,stoneware,4,12,33.9
267,Generic Brand Smartwatch — Soft (stainless steel),Gadgets,"Smartwatch in Soft finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",118.57,stainless steel,4,36,260.4
268,Generic Brand Wireless Earbuds — Soft (stainless steel),Gadgets,"Wireless Earbuds in Soft finish. Material: stainless steel. Designed for practical, everyday use with improved ergonomics and reliability.",405.76,stainless steel,5,36,121.3
