ID,Title,Category,Details,Cost_USD,Quality_Material,Quality_Durability_Rating_1to5,Warranty_Months,Sustainability_CO2_kg
172,Generic Brand Coffee Grinder Burr,Gadgets,Compact Coffee Grinder Burr with ABS plastic body. Smart features and energy-efficient components for daily use.,206.1,ABS plastic,5,6,281.9
173,Generic Brand Milk Frother,Gadgets,Compact Milk Frother with recycled aluminum body. Smart features and energy-efficient components for daily use.,795.34,recycled aluminum,4,0,57.2
174,Generic Brand Blender Compact,Gadgets,Compact Blender Compact with PC+ABS blend body. Smart features and energy-efficient components for daily use.,724.4,PC+ABS blend,5,6,127.7
175,Generic Brand Juicer Mini,Gadgets,Compact Juicer Mini with ABS plastic body. Smart features and energy-efficient components for daily use.,509.46,ABS plastic,3,6,298.1
176,Generic Brand Portable Induction Cooktop,Gadgets,Compact Portable Induction Cooktop with ABS plastic body. Smart features and energy-efficient components for daily use.,430.46,ABS plastic,3,6,174.6
177,Generic Brand Handheld Vacuum,Gadgets,Compact Handheld Vacuum with stainless steel body. Smart features and energy-efficient components for daily use.,471.72,stainless steel,4,18,258.7
178,Generic Brand Steam Iron,Gadgets,Compact Steam Iron with recycled aluminum body. Smart features and energy-efficient components for daily use.,241.05,recycled aluminum,5,6,145.9
179,Generic Brand Garment Steamer,Gadgets,Compact Garment Steamer with PC+ABS blend body. Smart features and energy-efficient components for daily use.,471.17,PC+ABS blend,3,0,119.1
180,Generic Brand Label Maker Bluetooth,Gadgets,Compact Label Maker Bluetooth with recycled aluminum body. Smart features and energy-efficient components for daily use.,324.69,recycled aluminum,5,12,255.1
181,Generic Brand Portable Scanner,Gadgets,Compact Portable Scanner with stainless steel body. Smart features and energy-efficient components for daily use.,660.66,stainless steel,5,24,299.7
182,Generic Brand Laser Measure,Gadgets,Compact Laser Measure with recycled aluminum body. Smart features and energy-efficient components for daily use.,781.78,recycled aluminum,4,24,171.1
183,Generic Brand Multitool Screwdriver Set,Gadgets,Compact Multitool Screwdriver Set with stainless steel body. Smart features and energy-efficient components for daily use.,509.17,stainless steel,5,18,163.8
184,Generic Brand Soldering Iron Kit,Gadgets,Compact Soldering Iron Kit with stainless steel body. Smart features and energy-efficient components for daily use.,785.55,stainless steel,5,6,192.9
185,Generic Brand Cordless Drill Lite,Gadgets,Compact Cordless Drill Lite with aluminum chassis body. Smart features and energy-efficient components for daily use.,773.73,aluminum chassis,4,0,129.5
186,Generic Brand Smart Garden (Countertop),Gadgets,Compact Smart Garden (Countertop) with recycled aluminum body. Smart features and energy-efficient components for daily use.,642.55,recycled aluminum,4,18,297.1
187,Generic Brand Bike Computer GPS,Gadgets,Compact Bike Computer GPS with aluminum chassis body. Smart features and energy-efficient components for daily use.,459.94,aluminum chassis,3,6,175.6
188,Generic Brand LED Headlamp,Gadgets,Compact LED Headlamp with PC+ABS blend body. Smart features and energy-efficient components for daily use.,317.84,PC+ABS blend,3,18,74.9
189,Generic Brand Power Strip Surge,Gadgets,Compact Power Strip Surge with recycled aluminum body. Smart features and energy-efficient components for daily use.,42.35,recycled aluminum,3,18,267.7
190,Generic Brand Travel Adapter Global,Gadgets,Compact Travel Adapter Global with aluminum chassis body. Smart features and energy-efficient components for daily use.,94.1,aluminum chassis,4,12,205.8
191,Generic Brand USB-C Cable (3pk),Gadgets,Compact USB-C Cable (3pk) with recycled aluminum body. Smart features and energy-efficient components for daily use.,594.36,recycled aluminum,4,24,145.0
192,Generic Brand Car Phone Mount,Gadgets,Compact Car Phone Mount with stainless steel body. Smart features and energy-efficient components for daily use.,574.32,stainless steel,4,24,59.0
193,Generic Brand Dash Cam,Gadgets,Compact Dash Cam with ABS plastic body. Smart features and energy-efficient components for daily use.,233.25,ABS plastic,5,12,299.4
194,Generic Brand Wireless Charging Pad,Gadgets,Compact Wireless Charging Pad with ABS plastic body. Smart features and energy-efficient components for daily use.,406.56,ABS plastic,3,0,160.9
195,Generic Brand Monitor Light Bar,Gadgets,Compact Monitor Light Bar with stainless steel body. Smart features and energy-efficient components for daily use.,814.98,stainless steel,3,12,249.0
196,Generic Brand Desk Fan USB,Gadgets,Compact Desk Fan USB with stainless steel body. Smart features and energy-efficient components for daily use.,340.86,stainless steel,4,6,111.0
197,Generic Brand AirTag-style Tracker (4pk),Gadgets,Compact AirTag-style Tracker (4pk) with recycled aluminum body. Smart features and energy-efficient components for daily use.,521.36,recycled aluminum,3,6,93.8
198,Generic Brand Mini Dehumidifier,Gadgets,Compact Mini Dehumidifier with PC+ABS blend body. Smart features and energy-efficient components for daily use.,786.63,PC+ABS blend,5,6,174.4
199,Generic Brand Solar Power Bank,Gadgets,Compact Solar Power Bank with PC+ABS blend body. Smart features and energy-efficient components for daily use.,153.51,PC+ABS blend,4,12,164.9
200,Generic Brand Thermal Label Printer,Gadgets,Compact Thermal Label Printer with ABS plastic body. Smart features and energy-efficient components for daily use.,811.05,ABS plastic,4,12,219.4
